droid_id,episode_id
00000000-0000-0000-0000-000000000001,3
00000000-0000-0000-0000-000000000002,1
00000000-0000-0000-0000-000000000003,2
00000000-0000-0000-0000-000000000004,3
00000000-0000-0000-0000-000000000005,1
00000000-0000-0000-0000-000000000006,2
00000000-0000-0000-0000-000000000007,3
00000000-0000-0000-0000-000000000008,1
00000000-0000-0000-0000-000000000009,2
00000000-0000-0000-0000-000000000010,3
00000000-0000-0000-0000-000000000011,1
00000000-0000-0000-0000-000000000012,2
00000000-0000-0000-0000-000000000013,3
00000000-0000-0000-0000-000000000014,1
00000000-0000-0000-0000-000000000015,2
00000000-0000-0000-0000-000000000016,3
00000000-0000-0000-0000-000000000017,1
00000000-0000-0000-0000-000000000018,2
00000000-0000-0000-0000-000000000019,3
